Ќаименование	√од	—редн€€ цена	ћес€ц
’леб ржаной, ржано-пшеничный, кг	2008	23,2	декабрь
¬ермишель, кг	2008	41,6	декабрь
 артофель, кг	2008	19	декабрь
 апуста белокочанна€ свежа€, кг	2008	16,7	декабрь
ќгурцы, кг *	2008	47,5	декабрь
ћорковь, кг	2008	27	декабрь
Ћук репчатый, кг	2008	19	декабрь
яблоки, кг	2008	61,2	декабрь
—ахар-песок, кг	2008	23,9	декабрь
 арамель, кг	2008	83,1	декабрь
ѕеченье, кг	2008	67,5	декабрь
√ов€дина I кат (кроме бескостного м€са), кг	2008	175,3	декабрь
Ѕаранина с кост€ми, кг	2008	190,7	декабрь
—винина с кост€ми, кг	2008	173,2	декабрь
 уры (кроме куриных окорочков), кг	2008	90,5	декабрь
–ыба замороженна€ неразделанна€, кг	2008	78,9	декабрь
—ельдь солена€, кг	2008	87,3	декабрь
ћолоко цельное разливное, л	2008	23,9	декабрь
—метана, кг	2008	105,2	декабрь
ћасло сливочное, кг	2008	173	декабрь
“ворог нежирный, кг	2008	109,6	декабрь
—ыры сычужные твердые и м€гкие, кг	2008	222,7	декабрь
яйца куриные, 10 шт.	2008	40,8	декабрь
ћаргарин, кг	2008	64,4	декабрь
ћасло подсолнечное, кг	2008	76,5	декабрь
—оль поваренна€ пищева€, кг	2008	9,6	декабрь
„ай черный байховый, кг	2008	241,9	декабрь
ѕерец черный (горошек), кг	2008	430,3	декабрь
